epoch,categorical_accuracy,loss,lr
0,0.8097118487627447,0.8580545120324597,1e-04
1,0.8530927860496829,0.6722796972699346,1e-04
2,0.8614208930290785,0.6309978917941151,1e-04
3,0.8711525402479791,0.5648787341661902,1e-04
4,0.8730631584022402,0.5121047945497287,1e-04
5,0.8832997182338297,0.4649106474130746,1e-04
6,0.8918325544337031,0.41191951667169063,1e-04
7,0.8942825448859725,0.38859078841454764,1e-04
8,0.8990755121179875,0.37101394144747346,1e-04
9,0.9065902129115674,0.33939802853319734,1e-04
10,0.9100047720625363,0.32076172373972217,1e-04
11,0.9133446329258699,0.30433895437242736,1e-04
12,0.9105352804031415,0.3161805554124333,1e-04
13,0.9182151197987115,0.2828593089409856,1e-04
14,0.9225875426592176,0.25898263938474975,1e-04
15,0.921513604837776,0.2662971971819065,1e-04
16,0.9229558629610928,0.25473239904548767,1e-04
17,0.9288107066746526,0.23172159596310898,1e-04
18,0.926478243714211,0.23868322532448993,1e-04
19,0.9264335448976598,0.24176837420570238,1e-04
20,0.9309593424434364,0.22159779138479724,1e-04
21,0.9353871869560856,0.20579877749118763,1e-04
22,0.9354157857846894,0.2040702455929195,1e-04
23,0.9372939094734405,0.20114716080744527,1e-04
24,0.9365124851131866,0.20201589217121968,1e-04
25,0.935249833252606,0.20766519906803532,1e-04
26,0.935701850943384,0.20539188291669158,1e-04
27,0.9426226659242473,0.1776800637677212,1e-04
28,0.9422480755337667,0.1809648992764603,1e-04
29,0.9405458932888321,0.18809496796371153,1e-04
30,0.9438522214057462,0.17609927011549606,1e-04
31,0.9424313528825773,0.17968030903963433,1e-04
32,0.9449977422053916,0.16961259276541554,1e-04
33,0.9466582530030202,0.16244545465614438,1e-04
34,0.941764106819827,0.18305084422664086,1e-04
35,0.9457981593790203,0.16445013314018847,1e-04
36,0.9499666717495161,0.15024957887544996,1e-04
37,0.9502633420012941,0.14910029131560784,1e-04
38,0.9490507443079212,0.1523787543944331,1e-04
39,0.9472383130050079,0.15957819602100107,1e-04
40,0.9514453484441343,0.14345307178145286,1e-04
41,0.9523842539429931,0.14010874350332306,1e-04
42,0.9506821507708871,0.1459689336335099,1e-04
43,0.9513297387684219,0.14317141309947243,1e-04
44,0.9484007981932937,0.15512812090933456,1e-04
45,0.9533782613357441,0.13670649117804748,1e-04
46,0.955940697483835,0.12802587799577905,1e-04
47,0.9556584195535989,0.1292164575066876,1e-04
48,0.9540749894959282,0.13477130117565728,1e-04
49,0.9519525605026774,0.14251897992437051,1e-04
50,0.9557562057737269,0.12848762211116901,1e-04
51,0.9587599429774871,0.11809127816151185,5e-05
52,0.9610212166570711,0.11069473004181113,5e-05
53,0.9614510129495488,0.10909698586869293,5e-05
54,0.9616491450559372,0.10951785866579487,5e-05
55,0.9624656050797277,0.10586493914026009,5e-05
56,0.9628827040494154,0.10390772302145393,5e-05
57,0.962662735974762,0.103739100681322,5e-05
58,0.9630454772004079,0.10221157671354494,5e-05
59,0.9636445888203529,0.10049090636123213,5e-05
60,0.962924561444545,0.10286420043682892,5e-05
61,0.9633473934609884,0.10204559311237378,5e-05
62,0.9634041614180443,0.10173282307266389,5e-05
63,0.9634905313485421,0.10115736482927463,5e-05
64,0.9658867775460485,0.0927125415545982,2.5e-05
65,0.9675945292916607,0.08746080063866822,2.5e-05
