epoch,categorical_accuracy,loss,lr
0,0.8714701188290679,0.3691161195570457,1e-04
1,0.9410228980600968,0.17694604943529338,1e-04
2,0.9581922985429998,0.1208092766986864,1e-04
3,0.9672653423059707,0.09305387735366821,1e-04
4,0.9731381622203511,0.07656525392126984,1e-04
5,0.9787656240148566,0.06050679827696525,1e-04
6,0.981086432600448,0.05404132977961427,1e-04
7,0.9835157754437235,0.04629180322024113,1e-04
8,0.9833931032843237,0.046543259948692066,1e-04
9,0.9863103807505879,0.03807831390592076,1e-04
10,0.9878971884714677,0.0332332550812621,1e-04
11,0.9883286317589566,0.03229010111800243,1e-04
12,0.987048623012483,0.03543403011307087,1e-04
13,0.9895913772268317,0.028412891247661855,1e-04
14,0.9903377120526845,0.026444047289406695,1e-04
15,0.990714798904372,0.024939941813215048,1e-04
16,0.9893438980083338,0.0285281166934327,1e-04
17,0.991222569206417,0.023235602800211384,1e-04
18,0.9922603894800148,0.020404431043855295,1e-04
19,0.9915954503970391,0.02207415649288186,1e-04
20,0.9919440051586569,0.021173948809604517,1e-04
21,0.9915815040435834,0.022256524570836315,1e-04
22,0.9925617934340065,0.0196522608966102,1e-04
23,0.9933918677187072,0.01752124590094991,1e-04
24,0.9937426643216903,0.016377925539443422,1e-04
25,0.9934661647750761,0.017120161045851057,1e-04
26,0.9934771283627624,0.017118637793816175,1e-04
27,0.9932553522138787,0.01748421934893734,1e-04
28,0.9943333222828722,0.014678044807190862,1e-04
29,0.994187990557694,0.015144857384214465,1e-04
30,0.9944160610637409,0.014633266851139281,1e-04
31,0.9943679871175113,0.014699359601509384,1e-04
32,0.9946529230548765,0.013885147286208151,1e-04
33,0.99504656526333,0.012894310207174929,1e-04
34,0.9952542128445585,0.012391771712825869,1e-04
35,0.9953427583445905,0.012100107784505924,1e-04
36,0.9954415657776314,0.011960424032787348,1e-04
37,0.9955462241999522,0.011684613606540415,1e-04
38,0.9945837577984104,0.014303047451663603,1e-04
39,0.9966004127490707,0.008655948460235425,1e-04
40,0.996382138739763,0.009254500436569488,1e-04
41,0.9957875707405526,0.010857125056670016,1e-04
42,0.996225776488349,0.009814989780152937,1e-04
43,0.9960987663242374,0.010097472326334157,1e-04
44,0.9968212620257264,0.00815048527130878,5e-05
45,0.9977083286849711,0.005834885291605188,5e-05
46,0.9973126564516583,0.00685443954179751,5e-05
47,0.9972483169045757,0.007060841159265847,5e-05
48,0.997567346898768,0.006238021706574715,5e-05
49,0.9975769577143709,0.006181755521953506,5e-05
50,0.997875560383402,0.005393871725005592,2.5e-05
51,0.9985307754419527,0.00372248701334533,2.5e-05
52,0.9985019114593532,0.003825021136793781,2.5e-05
53,0.9983673277717309,0.0041390955448150635,2.5e-05
54,0.9983242906846723,0.00425295275063056,2.5e-05
55,0.9982786976651057,0.004388224225182928,2.5e-05
56,0.9983263559789466,0.004267654429612811,1.25e-05
57,0.9988259372428493,0.00299115042291765,1.25e-05
58,0.9989009999588832,0.0028027203392395773,1.25e-05
59,0.9988781971819449,0.0028645434902285034,1.25e-05
60,0.9988384656858125,0.0029604040269617,1.25e-05
61,0.9988296039952528,0.00298227806486006,1.25e-05
62,0.998859140963629,0.0028915453277178257,1.25e-05
63,0.9988891876383916,0.0028217705570878064,6.25e-06
64,0.9990317236790455,0.0024770659621663276,6.25e-06
65,0.9990716752589949,0.0023893755954384004,6.25e-06
66,0.9990725180580046,0.002380787726216668,6.25e-06
67,0.9990828443960322,0.0023589020874142915,6.25e-06
68,0.9990768429283594,0.0023701775660717513,6.25e-06
69,0.9990939289931483,0.0023279926787553484,6.25e-06
70,0.9991104616814812,0.0022906937721858356,6.25e-06
71,0.9991088933592674,0.002288224713114284,6.25e-06
72,0.9991214336698221,0.002257992557231212,3.125e-06
73,0.9991685818105736,0.0021503427017988508,3.125e-06
74,0.9991788565445799,0.002126852937992787,3.125e-06
75,0.9991936350962193,0.00209202722415028,3.125e-06
76,0.999184745203462,0.002108508908508608,3.125e-06
77,0.9991892034175412,0.0020982063056638575,3.125e-06
78,0.9992012164203379,0.0020668981325973066,1.5625e-06
79,0.9992129021976351,0.0020413228729427263,1.5625e-06
80,0.9992149664918315,0.002038289503229811,1.5625e-06
81,0.9992190220745352,0.0020270428934886686,1.5625e-06
82,0.9992195714506794,0.0020289356409836667,1.5625e-06
83,0.9992299991299375,0.0020011242070720765,1.5625e-06
84,0.9992255641176663,0.0020151154973629603,7.8125e-07
85,0.9992260106857991,0.002008356303976686,7.8125e-07
86,0.999233205379789,0.001995351557230256,7.8125e-07
87,0.9992333045208481,0.001993660825477617,7.8125e-07
88,0.9992298921215987,0.0019997216977795766,3.90625e-07
89,0.9992392098476957,0.001981910909848992,3.90625e-07
90,0.9992398951010949,0.00197348812015798,3.90625e-07
91,0.9992465456860178,0.0019626832115036794,3.90625e-07
92,0.9992395210052764,0.0019780503423421974,1.953125e-07
93,0.9992442188380282,0.0019663086273526186,1.953125e-07
94,0.9992446776737837,0.0019646364970495236,1.953125e-07
95,0.9992440951617239,0.001969174917378948,1.953125e-07
96,0.999245881434255,0.001963437536952213,1e-07
97,0.9992485739774085,0.0019588133766080445,1e-07
98,0.9992475248956574,0.001959499830100894,1e-07
99,0.9992468055729364,0.0019617240034227137,1e-07
100,0.9992488348644052,0.0019589767893422104,1e-07
101,0.9992488768010065,0.0019589631882823287,1e-07
102,0.9992435927225706,0.0019679948920904924,1e-07
103,0.9992489334054174,0.0019569787003049914,1e-07
104,0.9992500179565993,0.0019547555937329663,1e-07
105,0.9992466584948085,0.001959525565439689,1e-07
106,0.9992523090684707,0.0019495763234644128,1e-07
107,0.9992516787526858,0.0019496383282962262,1e-07
