epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.9158297465841607,0.33196896949171134,1e-04,0.9444554621312435,0.21167155922781106
1,0.9468397455171492,0.20445529782853009,1e-04,0.9511052902696021,0.18041785943249708
2,0.9520286582737543,0.18209907934204228,1e-04,0.9509642001639689,0.1821709149887281
3,0.95508825235008,0.16838788858293513,1e-04,0.9540441976709316,0.1682458290458468
4,0.9574177332112465,0.15797381919618336,1e-04,0.955590199821167,0.16406625565703065
5,0.9591256875579828,0.15063656175469992,1e-04,0.9526052035330063,0.17611662541842657
6,0.9607807414922166,0.14294062447809308,1e-04,0.9547442008128286,0.1657635624676668
7,0.9644558574970226,0.12748000864142578,5e-05,0.956722990699519,0.15800605533487208
8,0.9662693497370183,0.11952023301244577,5e-05,0.9568913110675522,0.15852530148746424
9,0.9675559159573651,0.11432242386438969,5e-05,0.9513415663491275,0.17824827372626773
10,0.9695915419134716,0.10616042590145752,2.5e-05,0.9572341149951822,0.1573883607563995
11,0.9706365615565747,0.10195363619606317,2.5e-05,0.9559875717342509,0.1627148707965173
12,0.9714962709457238,0.09852758907851479,2.5e-05,0.9560755710039773,0.1619829656089775
13,0.9725483511271436,0.09452904013505288,1.25e-05,0.9556002611832342,0.16317712160051537
14,0.9731312785045845,0.09228339965065892,1.25e-05,0.9562542003614481,0.16134059729197064
