epoch,categorical_accuracy,loss,lr,val_categorical_accuracy,val_loss
0,0.9363146282819748,0.2374459407349165,1e-04,0.9458335798497451,0.1959483903402821
1,0.9518799522616398,0.17722425450715465,1e-04,0.9524111850549312,0.17504501740930087
2,0.9562660144981291,0.15916927473342482,1e-04,0.9531713951739333,0.1741679641803502
3,0.9591236416164135,0.1464612419516732,1e-04,0.955022030789498,0.16403310623387635
4,0.961337125794477,0.1376865593655698,1e-04,0.9548573882605951,0.16555575704051634
5,0.9632013332151635,0.12949696534475483,1e-04,0.9552976127160511,0.1595648459399329
6,0.9649808855981207,0.12176776922999728,1e-04,0.9562864919246016,0.16042133229798597
7,0.9663036202303109,0.11644160195000594,1e-04,0.9532375957293144,0.16497696896017727
8,0.9693595100869093,0.10409960894105799,5e-05,0.957676552406931,0.15435524226898922
9,0.9708800039296135,0.09819708144073619,5e-05,0.9577620222585151,0.15273708663695118
10,0.9719952846327952,0.0937919066548199,5e-05,0.957736747214944,0.15214169441405703
11,0.9729879977190373,0.08979206010346516,5e-05,0.9580408105940548,0.1552247145358967
12,0.9737126242778796,0.08704341014899608,5e-05,0.9584799170018669,0.1520703052238358
13,0.9751412325626652,0.08185874818715852,2.5e-05,0.9592788772711369,0.14927968635397443
14,0.9759746236662125,0.07875101063692923,2.5e-05,0.9591637694110661,0.1493387918172781
15,0.9765371202739314,0.07660457996130286,2.5e-05,0.9594815097088115,0.14747168576848116
16,0.977089708504343,0.07465980758757297,2.5e-05,0.9595351575141177,0.1481709574773566
17,0.9774724687390455,0.07331089704018295,2.5e-05,0.9592296920887613,0.14851946280461364
18,0.9781735166628819,0.07075819890753991,1.25e-05,0.9590340487265278,0.14788795438625757
19,0.9785879849496399,0.06915212721709388,1.25e-05,0.9590445769986032,0.15084459049513904
