epoch,categorical_accuracy,loss,lr
0,0.7847091502257908,0.4921509258832441,1e-04
1,0.9163384028195801,0.26618432825310384,1e-04
2,0.9345896746754913,0.19990437689510235,1e-04
3,0.9484876883643318,0.1546064507241217,1e-04
4,0.9540742989087798,0.13429387810512944,1e-04
5,0.9590146520260463,0.12081610869774616,1e-04
6,0.9648495519187893,0.10127841619570517,1e-04
7,0.9703908526657412,0.08488952680188804,1e-04
8,0.973632034706056,0.07592149828904426,1e-04
9,0.9753180882274705,0.07093623813900105,1e-04
10,0.9785391108301662,0.06151788133369463,1e-04
11,0.9782109780599607,0.06312182305643223,1e-04
12,0.9805874980536083,0.05594207529786983,1e-04
13,0.9801504066593162,0.05669346385087476,1e-04
14,0.981754162034199,0.052243011509812115,1e-04
15,0.9822095679223404,0.05004162809726109,1e-04
16,0.9839042453157821,0.0443009569474248,1e-04
17,0.9845175887114249,0.044378946158176565,1e-04
18,0.9849770378479755,0.04214127771806397,1e-04
19,0.9848058825104562,0.043017793555121024,1e-04
20,0.9861053849760051,0.03929098300485803,1e-04
21,0.9867282121773534,0.037398815621732334,1e-04
22,0.9870172356332442,0.03620720349702259,1e-04
23,0.9870813515629011,0.035932596231200285,1e-04
24,0.9875000223217395,0.03503250008994834,1e-04
25,0.9880109484030363,0.03363555049736228,1e-04
26,0.9885717798399445,0.03226845916485627,1e-04
27,0.9886828674299338,0.03188976445454079,1e-04
28,0.9887611377959283,0.03139488375693626,1e-04
29,0.9884449608907336,0.03239113085755299,1e-04
30,0.9887021326645375,0.03174497723846094,1e-04
31,0.9878080719269362,0.03382043583814463,1e-04
32,0.9905502441478788,0.025779245750482717,1e-04
33,0.9908990121261119,0.024945959948853357,1e-04
34,0.9910000409322564,0.02440893376700297,1e-04
35,0.9906998627404505,0.025629329068015353,1e-04
36,0.9905432045326403,0.026349164228844695,1e-04
37,0.9914662023252022,0.02349305019549342,1e-04
38,0.991115939297132,0.024170556057752913,1e-04
39,0.9906636589858889,0.02588970682498326,1e-04
40,0.9914720317127987,0.02341732189425953,1e-04
41,0.9915838788286419,0.022200018100823865,1e-04
42,0.9914406726024295,0.022715511071335282,1e-04
43,0.9919939434501682,0.021136785113571473,1e-04
44,0.992500644402216,0.019922376345734735,1e-04
45,0.992885644937255,0.018815428218585534,1e-04
46,0.992803422396615,0.01897612740796151,1e-04
47,0.9927814793533394,0.019275582076719144,1e-04
48,0.9927563336604927,0.01930510757753513,1e-04
49,0.9927367347998907,0.019294244597688883,1e-04
50,0.9930642847246771,0.018389260342190464,1e-04
51,0.9931191592675194,0.01830306869225214,1e-04
52,0.9933251125167147,0.017663804610036898,1e-04
53,0.9933483013904068,0.0176835937521335,1e-04
54,0.993608575939332,0.01699737667770727,1e-04
55,0.9933972561386074,0.017356257043962244,1e-04
56,0.9931709394358949,0.017987972671286906,1e-04
57,0.9939847953900928,0.01589868399387505,1e-04
58,0.9944830176814291,0.014609654077747523,1e-04
59,0.9948693229848107,0.013256715981485593,1e-04
60,0.9947729062714032,0.013630554446704702,1e-04
61,0.9948434985724072,0.013416659245288346,1e-04
62,0.9945850724341886,0.014312192630981171,1e-04
63,0.9935283339530296,0.016940963348286264,1e-04
64,0.9948440035450912,0.013548113489044326,1e-04
65,0.995121061535223,0.012796872280854774,5e-05
66,0.9964919216947534,0.00895407735901391,5e-05
67,0.9967664568216209,0.008247100666865407,5e-05
68,0.9967633884491803,0.008273652069253942,5e-05
69,0.9965837343160472,0.008813489870203688,5e-05
70,0.9963109370579389,0.009505747548685778,5e-05
71,0.9963987106978227,0.009295876260838519,5e-05
72,0.9964085159952475,0.009193000110737162,5e-05
73,0.996406662650823,0.009262038023946536,2.5e-05
74,0.9973564083944231,0.006701842783814842,2.5e-05
75,0.9977403257783894,0.005715982892635952,2.5e-05
76,0.9978252461292599,0.005529422754676017,2.5e-05
77,0.9977405163265715,0.005764565745189419,2.5e-05
78,0.9976416163529859,0.006003368487560776,2.5e-05
79,0.9974963527664509,0.006367024959333791,2.5e-05
80,0.9975016595799917,0.006368407467067642,2.5e-05
81,0.9974460504465722,0.006469159184952977,2.5e-05
82,0.9974917233390296,0.0063515252181614275,1.25e-05
83,0.9980552489858879,0.00492309617249491,1.25e-05
84,0.9982952612891827,0.004305059611130614,1.25e-05
85,0.998357681620041,0.004138966934792947,1.25e-05
86,0.9983928087573724,0.004073703582388176,1.25e-05
87,0.9983958565948794,0.004082479599604938,1.25e-05
88,0.998385381111896,0.004106944306051438,1.25e-05
89,0.9983499755528683,0.004188014090194532,1.25e-05
90,0.9983336310792023,0.0042497087645050665,1.25e-05
91,0.9982659238030179,0.004419333049381606,6.25e-06
92,0.9984814039279417,0.0038492227560721786,6.25e-06
93,0.9985885786796843,0.0035678676310801666,6.25e-06
94,0.9986275926532361,0.0034758871300375168,6.25e-06
95,0.9986467250774904,0.0034400079341009426,6.25e-06
96,0.9986405371286192,0.003441885680426954,6.25e-06
97,0.9986419969757131,0.003445868657472683,6.25e-06
98,0.9986761768392268,0.0033609709750352557,6.25e-06
99,0.9986948400269152,0.003310373565494614,6.25e-06
100,0.9987063077205512,0.003275253362036925,6.25e-06
101,0.9986833972685556,0.0033320911245324734,6.25e-06
102,0.9987157765917597,0.0032588871533438665,6.25e-06
103,0.9987196956971615,0.0032430852552921712,6.25e-06
104,0.9987202421397438,0.003241564203428742,6.25e-06
105,0.9987266394382622,0.0032271558806400173,3.125e-06
106,0.9987439635882708,0.003166023116783808,3.125e-06
107,0.9987712234458668,0.0031038912084011957,3.125e-06
108,0.998811653529771,0.003012640630905527,3.125e-06
109,0.9988038191859354,0.003032156151679805,3.125e-06
110,0.9988145580227743,0.002997065550528917,3.125e-06
111,0.9988107115897022,0.003021044885818857,3.125e-06
112,0.9988337179158358,0.0029536437668256314,3.125e-06
113,0.9988348844067362,0.0029505135228969906,3.125e-06
114,0.9988191123776788,0.0029923806521183157,1.5625e-06
115,0.9988232401660091,0.0029765879547835996,1.5625e-06
116,0.9988330773325841,0.002956981360245604,1.5625e-06
117,0.9988528306052189,0.0029077081872312814,1.5625e-06
118,0.998852865407931,0.002911758102826624,1.5625e-06
119,0.9988634122298068,0.0028816050864439416,1.5625e-06
120,0.998884476137908,0.0028336392153029476,1.5625e-06
121,0.9988797069662636,0.0028442655100385083,1.5625e-06
122,0.9988806118367769,0.0028484531697010834,1.5625e-06
123,0.9988734982157713,0.0028632605902567275,7.8125e-07
124,0.9988830877630502,0.002833508805140553,7.8125e-07
125,0.9988771494336309,0.0028349318493666,7.8125e-07
126,0.9988811726804815,0.0028277963599902672,7.8125e-07
127,0.9988904575373503,0.002817983995348015,7.8125e-07
128,0.9988792839999701,0.0028383399816167437,3.90625e-07
129,0.9988705167834391,0.0028576768218004198,3.90625e-07
130,0.9988918505792383,0.0028034241940884516,3.90625e-07
131,0.9988998021322075,0.0027928600375284286,3.90625e-07
132,0.9988992692906851,0.0027928312352839733,3.90625e-07
133,0.9989084348049206,0.002772062816875893,3.90625e-07
134,0.9989124180486538,0.0027593247575781223,3.90625e-07
135,0.9989116177196204,0.002762803562002161,3.90625e-07
136,0.9989131727741335,0.0027615138615004436,1.953125e-07
137,0.9989059408772445,0.0027793972550889255,1.953125e-07
138,0.9989137334844943,0.0027596374486116757,1.953125e-07
139,0.9989222182790172,0.002736362301529921,1.953125e-07
140,0.9989191815090392,0.002747319955420441,1.953125e-07
141,0.9989244153835629,0.002735445963456327,9.765625e-08
142,0.9989181123590576,0.0027495907990457763,9.765625e-08
143,0.9989171794863622,0.0027499585610374776,9.765625e-08
144,0.9989142943281989,0.00275249662548637,9.765625e-08
145,0.9989172933619028,0.002752167933205897,9.765625e-08
146,0.998919318053013,0.002748761401080445,4.8828124e-08
147,0.998919200043817,0.002755577398893284,4.8828124e-08
148,0.998915991127091,0.002750292053692026,4.8828124e-08
149,0.9989278476510272,0.00273141378257632,4.8828124e-08
150,0.9989238166702407,0.002726096434881223,4.8828124e-08
151,0.9989305507950068,0.0027177147150573046,2.4414062e-08
152,0.9989268410392522,0.0027343448109808117,2.4414062e-08
153,0.9989366462033333,0.0027120332056510634,2.4414062e-08
154,0.9989235290478273,0.0027350333979732507,2.4414062e-08
155,0.9989212155342102,0.0027366205883239472,2.4414062e-08
156,0.9989304930571742,0.0027117170476806778,1.2207031e-08
157,0.9989161150034108,0.0027484247081765124,1.2207031e-08
158,0.9989331958011226,0.002716126324613089,1.2207031e-08
159,0.9989206841594688,0.0027403220767676165,1.2207031e-08
160,0.9989343282893733,0.002709714891659867,1.2207031e-08
161,0.9989337603784514,0.0027141895070171996,1e-08
162,0.998915608030571,0.002755212170432345,1e-08
163,0.9989176756583604,0.002746896189064521,1e-08
164,0.9989159853933108,0.0027493591809966155,1e-08
