epoch,categorical_accuracy,loss,lr
0,0.7789372930457394,0.4997717924832764,1e-04
1,0.9189133328079377,0.2651141323232544,1e-04
2,0.9355523034230174,0.20041317081024715,1e-04
3,0.945179943403675,0.16521797364190122,1e-04
4,0.953579355939656,0.13863537815593233,1e-04
5,0.9616094268941773,0.11172271894928593,1e-04
6,0.9662641757553323,0.09841603734082557,1e-04
7,0.9692609336818891,0.089059976790042,1e-04
8,0.9732306772963846,0.0772383997104312,1e-04
9,0.9737626120814807,0.07637241916101785,1e-04
10,0.9765991623236295,0.06751204763749569,1e-04
11,0.9796347587433971,0.05904595257185183,1e-04
12,0.9811783079599641,0.05429627898022099,1e-04
13,0.9810763281463777,0.054112758545800874,1e-04
14,0.9819677573455794,0.0515654868460875,1e-04
15,0.9838529639862794,0.04638731346301051,1e-04
16,0.9845468953951894,0.04410817292445991,1e-04
17,0.9845213771399769,0.04418806368339248,1e-04
18,0.98459221359334,0.043978344140703514,1e-04
19,0.9850575894584058,0.042207527347325746,1e-04
20,0.986039484773973,0.039697148522541297,1e-04
21,0.9854797703574435,0.041805934719324644,1e-04
22,0.9863987867730842,0.038972984891076486,1e-04
23,0.9865825949632615,0.03805943490141457,1e-04
24,0.9877109531588202,0.034928816943627344,1e-04
25,0.988322104383635,0.032886146032303505,1e-04
26,0.9870048702696559,0.03715049740452094,1e-04
27,0.9885167884879997,0.03224260068313121,1e-04
28,0.9889030295197062,0.031138277027164263,1e-04
29,0.9874733055731327,0.03537696839979031,1e-04
30,0.9896043953746224,0.028340458336559186,1e-04
31,0.9902758370309868,0.02646825564254317,1e-04
32,0.9906449893977018,0.025337416720336983,1e-04
33,0.9909701904727842,0.025061532555010493,1e-04
34,0.9901033613239092,0.027049300121247635,1e-04
35,0.9906100486748971,0.025640612613968133,1e-04
36,0.9910831876782497,0.024075153156681614,1e-04
37,0.9910128392629175,0.024662861087978286,1e-04
38,0.990907119957926,0.024558952190731995,1e-04
39,0.991099791238772,0.024272029965249218,1e-04
40,0.9908625262162296,0.02474724059670297,1e-04
41,0.9910461847947482,0.02459907398394557,1e-04
42,0.9915898538275854,0.02326938263255211,5e-05
43,0.9938412660720365,0.016268980983119682,5e-05
